"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Knob Creek Single Barrel Reserve Bourbon","8.88","0.35","8","$$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch 9yo Bourbon","8.65","0.43","18","$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch Straight Rye Whiskey","8.57","0.44","12","$$$","Rye-like","","","USA","Rye"
"Knockando 12yo (All Vintages)","7.92","0.43","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Koval Single Barrel Bourbon","8.63","0.23","4","$$$","Bourbon-like","","","USA","Bourbon"
"Koval Single Barrel Four Grain","8.44","0.26","4","$$$$","Bourbon-like","","","USA","Grain"
"Koval Single Barrel Millet Whiskey","8.15","0.37","4","$$$","Bourbon-like","","","USA","Grain"
"Koval Single Barrel Rye","7.7","0.33","3","$$$","Rye-like","","","USA","Rye"
"Lagavulin 12yo Cask Strength","9.23","0.14","16","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.3","0.25","23","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.13","0.28","16","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.92","0.25","17","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.86","0.32","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 18yo","9.07","0.29","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 25yo","9.21","0.3","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Cairdeas 2013 Port Wood","8.82","0.52","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","9.02","0.22","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.18","0.21","6","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Quarter Cask","9.1","0.22","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Larceny Small Batch Bourbon","8.49","0.23","6","$$","Bourbon-like","","","USA","Bourbon"
"Ledaig 10yo (Tobermory)","8.22","0.37","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Linkwood 12yo (F&F)","8.61","0.36","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Loch Lomond","7.19","0.38","6","$","SingleMalt-like","GH","H","Scotland","Malt"
"Longmorn 16yo","8.7","0.34","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Peated (NAS)","8.81","0.26","16","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Lot 40","8.91","0.42","16","$$","Rye-like","","","Canada","Rye"
"Macallan 10yo (OB, Sherry Oak)","8.47","0.41","7","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 10yo Fine Oak","8.23","0.33","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 12yo Fine Oak","8.48","0.41","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan 1824 Amber","8.35","0.39","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 1824 Gold","8.3","0.3","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan 1824 Rare Cask","8.76","0.46","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Ruby","8.83","0.2","11","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Sienna","8.84","0.33","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 18yo Fine Oak","8.83","0.33","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 30yo Fine Oak","8.59","0.37","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackinlay 'Shackleton' Rare Old Highland Malt Whisky","8.88","0.33","14","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Special 04","8.79","0.39","8","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra Special 08","8.36","0.34","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra The First Edition Swedish Whisky","8.74","0.35","15","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Maker's Mark","8.25","0.46","20","$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark 46","8.9","0.2","12","$$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark Cask Strength","8.8","0.47","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Mannochmore 12yo (F&F)","8.27","0.14","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Masterson's Straight Barley 10yo","8.54","0.69","6","$$$$","Rye-like","","","Canada","Barley"
"Masterson's Straight Rye 10yo","8.92","0.47","14","$$$$","Rye-like","","","Canada","Rye"
"Masterson's Straight Wheat 12yo","8.67","0.24","8","$$$$","Rye-like","","","Canada","Wheat"
"Michter's US*1 Single Barrel Rye","8.79","0.56","6","$$$","Rye-like","","","USA","Rye"
"Michter's US*1 Small Batch Bourbon","8.46","0.39","7","$$$","Bourbon-like","","","USA","Bourbon"
"Midleton Very Rare Irish Whiskey","8.82","0.59","8","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Millstone Rye 100%","8.84","0.34","6","$$$$","Rye-like","","","Netherlands","Rye"
"Miltonduff 10yo (F&F)","8.06","0.49","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Monkey Shoulder","8.29","0.42","13","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.74","0.39","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 16yo (F&F)","8.69","0.32","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach Rare Old","8.56","0.41","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach Special Strength","8.74","0.64","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka All Malt","8.46","0.17","8","$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Coffey Grain","8.67","0.5","14","$$$$","Scotch-like","","","Japan","Grain"
"Nikka Coffey Malt","8.82","0.5","5","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka From the Barrel","8.85","0.44","20","$$$","SingleMalt-like","EF","F","Japan","Blend"
"Nikka Gold & Gold","8.16","0.37","7","$$$","SingleMalt-like","GH","G","Japan","Malt"
"Nikka Miyagikyo 10yo","8.43","0.37","6","$$$$","SingleMalt-like","I","I","Japan",""
"Nikka Miyagikyo 12yo","8.63","0.32","6","$$$$","SingleMalt-like","I","I","Japan",""
"Nikka Miyagikyo 15yo","8.7","0.31","11","$$$$$","SingleMalt-like","J","J","Japan","Malt"
"Nikka Miyagikyo NAS","8.43","0.41","4","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Nikka Pure Malt Black","8.82","0.24","12","$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Pure Malt Red","8.54","0.36","9","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Pure Malt White","8.67","0.37","11","$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.14","0.51","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Nikka Super","7.97","0.49","7","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Taketsuru 12yo","8.32","0.37","15","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Taketsuru 17yo","8.81","0.28","11","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Taketsuru 21yo","9.02","0.29","13","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Nikka Taketsuru NAS","8.14","0.6","3","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Nikka Yoichi 10yo","8.72","0.28","16","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi 12yo","8.8","0.22","9","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi 15yo","9.05","0.23","13","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi NAS","8.28","0.13","6","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Oban 14yo","8.44","0.44","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban Little Bay","8.52","0.33","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Old Ballantruan Peated (Toumintoul)","8.2","0.49","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Old Fitzgerald Kentucky Straight Bourbon","8.37","0.6","5","$$","Bourbon-like","","","USA","Bourbon"
"Old Forester","8.1","0.35","8","$$","Bourbon-like","","","USA","Bourbon"
"Old Forester Birthday (2012-2016)","8.74","0.24","5","$$$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester Signature (100 Proof)","8.45","0.37","5","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 100 BiB","8.41","0.63","6","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 114","8.66","0.3","3","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 80/86","8.14","0.54","8","$$","Bourbon-like","","","USA","Bourbon"
"Old Pulteney 12yo","8.44","0.3","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 17yo","8.86","0.29","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 21yo","8.67","0.65","11","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Old Pulteney Navigator","8.43","0.31","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Rip Van Winkle 10yo","9.14","0.24","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Old Weller Antique 107","8.72","0.59","6","$$$","Bourbon-like","","","USA","Bourbon"
"Olf Fitzgerald BiB","8.16","0.21","3","$$$","Bourbon-like","","","USA","Bourbon"
"Orphan Barrel Barterhouse Bourbon 20yo","8.84","0.31","9","$$$$$","Bourbon-like","","","USA","Bourbon"
"P&M Blended Whisky","7.38","1.07","5","$","Scotch-like","","","France","Blend"
"Pappy Van Winkle Family Reserve Bourbon 15yo","9.33","0.24","7","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 20yo","9.24","0.38","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Penderyn Aur Cymru","7.69","0.61","8","$$$$","SingleMalt-like","EF","E","Wales","Malt"
"Penderyn Legend","7.45","0.95","4","$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Penderyn Madeira","7.75","1.08","11","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Penderyn Peated","8.29","0.59","9","$$$$","SingleMalt-like","I","I","Wales","Malt"
"Penderyn Portwood","8.64","0.43","5","$$$","SingleMalt-like","ABC","C","Wales","Malt"
"Penderyn Sherrywood","7.69","0.62","9","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Pendleton (Let'er Buck)","8.05","0.5","13","$$","Rye-like","","","Canada","Blend"
"Pendleton 1910","8.47","0.41","7","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo","8.32","0.44","9","$$","Rye-like","","","Canada","Blend"
"Pikesville Straight Rye","8.81","0.41","8","$$$$","","","","",""
"Potter's Special Old","8.4","0.43","4","$","Rye-like","","","Canada","Blend"
"Powers (Gold Label)","8.04","0.64","9","$$","Scotch-like","","","Ireland","Blend"
"Powers 12yo John's Lane","8.86","0.41","12","$$$$","Scotch-like","","","Ireland","Blend"
"Powers 12yo Reserve","8.62","0.27","6","$$$","Scotch-like","","","Ireland","Blend"
"Prichard’s Rye","8.48","0.26","3","$$$$","Rye-like","","","USA","Rye"
"Rebel Yell Kentucky Bourbon","7.53","0.39","8","$","Bourbon-like","","","USA","Bourbon"
"Redbreast 12yo","8.83","0.46","19","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Redbreast 12yo Cask Strength","9.11","0.31","12","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Redbreast 15yo","8.74","0.27","12","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Redbreast 21yo","9.4","0.22","7","$$$$$+","SingleMalt-like","ABC","C","Ireland","Malt"
"Redemption High Rye Bourbon","7.82","0.45","4","$$","Bourbon-like","","","USA","Bourbon"
"Rich and Rare","7.69","0.58","5","$","Rye-like","","","Canada","Blend"
"Rich and Rare Reserve","7.91","0.34","6","$","Rye-like","","","Canada","Blend"
"Rittenhouse Rye 100 Proof","8.65","0.21","12","$$","Rye-like","","","USA","Rye"
"Royal Brackla 12yo","8.38","0.56","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Canadian Small Batch","7.97","0.38","11","$$","Rye-like","","","Canada","Blend"
"Royal Lochnagar 12yo","7.83","0.32","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Russell's Reserve Single Barrel","8.86","0.59","5","$$$$","Bourbon-like","","","USA","Bourbon"
"Russell's Reserve Small Batch 10yo Bourbon","8.58","0.33","10","$$","Bourbon-like","","","USA","Bourbon"
"Sazerac Straight Rye","8.61","0.51","11","$$","Rye-like","","","USA","Rye"
"Scapa 16yo","8.27","0.29","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa Skiren","7.63","0.12","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Schenley Golden Wedding","8.02","0.59","8","$","Rye-like","","","Canada","Blend"
"Seagram's Canadian 83","7.27","0.91","7","$","Rye-like","","","Canada","Blend"
"Seagram's VO","7.74","0.79","9","$","Rye-like","","","Canada","Blend"
"Speyburn 10yo","8.02","0.33","16","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyside 10yo","7.65","0.71","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Speyside 12yo","7.82","0.65","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Springbank 10yo","8.7","0.28","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 12yo Cask Strength","8.87","0.31","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 15yo","8.74","0.25","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 18yo","8.97","0.2","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"St George's Chapter 6 (unpeated)","8.24","0.51","10","$$$","SingleMalt-like","GH","G","England","Malt"
"St George's Chapter 9 (peated)","8.2","0.43","5","$$$","SingleMalt-like","I","I","England","Malt"
"Stagg Jr","8.49","0.47","11","$$$$","Bourbon-like","","","USA","Bourbon"
"Stalk & Barrel 11+1 Canadian whisky","8.27","0.42","14","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Cask 17 Rye","8.4","0.37","3","$$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye whisky","8.73","0.26","5","$$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Single Malt (All Casks)","8.33","0.37","10","$$$","SingleMalt-like","EF","F","Canada","Malt"
"Strathisla 12yo","8.27","0.28","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathmill 12yo","8.37","0.3","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Strathmill 25yo","8.85","0.44","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Suntory Old Whisky","8.3","0.35","7","$$$","SingleMalt-like","EF","E","Japan","Blend"
"Talisker 10yo","8.92","0.22","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 18yo","9.25","0.2","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 25yo","8.95","0.26","13","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 57 North","9.01","0.25","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Dark Storm","8.78","0.13","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Distiller's Edition (all editions)","8.92","0.29","15","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Port Ruighe","8.55","0.45","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Talisker Storm","8.64","0.29","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Tamdhu 10yo","8.22","0.73","11","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamnavulin 12yo","7.62","0.93","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Teacher's Highland Cream","7.93","0.88","10","$","Scotch-like","","","Scotland","Blend"
"Teaninich 10yo (F&F)","8.13","0.18","3","","SingleMalt-like","EF","F","Scotland","Malt"
"Teeling Single Grain (Wine Cask Finish)","8.56","0.37","8","$$$","Scotch-like","","","Ireland","Grain"
"Teeling Single Malt","8.51","0.43","5","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Teeling Whiskey Small Batch (Rum Cask Finish)","8.38","0.29","14","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Templeton Rye","8.18","0.48","5","$$$","Rye-like","","","USA","Rye"
"The Irishman Cask Strength","8.69","0.27","4","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"The Irishman Founder’s Reserve","8.4","0.35","5","$$","SingleMalt-like","EF","E","Ireland","Blend"
"The Irishman Original Clan Irish Whiskey","8.16","0.2","4","$$","Scotch-like","","","Ireland","Blend"
"The Irishman Single Malt (NAS)","7.88","0.25","4","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Three Ships 10yo","8.29","0.34","7","$$$$","Scotch-like","","","South Africa","Blend"
"Three Ships 5yo","7.98","0.51","8","$","Scotch-like","","","South Africa","Blend"
"Tobermory 10yo","8.22","0.46","17","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Tobermory 15yo","8.53","0.37","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 12yo","7.83","0.65","14","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomatin 14yo Portwood","8.81","0.28","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 15yo","8.34","0.14","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomatin 18yo","8.68","0.23","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan","8.1","0.33","10","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomatin Cu Bocan 1989 Limited Edition","8.95","0.33","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Tomatin Cu Bocan Sherry Edition","8.4","0.37","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan Virgin Oak Edition","8.52","0.48","3","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomatin Legacy","8.26","0.48","8","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 10yo","7.88","0.3","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 12yo Oloroso","8.34","0.61","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomintoul 16yo","8.43","0.48","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul Peaty Tang","7.97","0.79","8","$$","SingleMalt-like","J","J","Scotland","Malt"
"Tormore 12yo","7.83","0.4","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tormore 14yo","8.05","0.28","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullamore Dew 10yo Single Malt","7.99","0.81","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Tullamore Dew Blended","7.77","0.41","14","$$","Scotch-like","","","Ireland","Blend"
"Tullamore Dew Blended 12yo","8.11","0.28","8","$$$","Scotch-like","","","Ireland","Blend"
"Tullibardine 1993 Port","7.98","0.38","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Tullibardine 1993 Sauternes","8.25","0.37","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 20yo","8.68","0.32","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine 225 Sauternes Finish","8.41","0.47","4","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine Aged Oak Edition","8.17","0.46","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine Vintage 1993","8.32","0.52","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tyrconnell 10yo Madeira Cask Finish","8.56","0.4","9","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Tyrconnell 10yo Port Cask Finish","8.57","0.4","9","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Tyrconnell 10yo Sherry Cask Finish","8.41","0.33","5","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Tyrconnell Single Malt Irish Whiskey","8.16","0.4","12","$$","SingleMalt-like","GH","H","Ireland","Malt"
"Té Bheag","8.47","0.42","12","$$","Scotch-like","","","Scotland","Blend"
"Van Winkle Family Reserve Rye 13yo","8.9","0.34","6","$$$$$+","Rye-like","","","USA","Rye"
"Van Winkle Special Reserve 12yo Lot B","8.84","0.22","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Very Old Barton 6yo","8.45","0.41","6","$","Bourbon-like","","","USA","Bourbon"
"W.L. Weller 12yo","8.94","0.24","8","$$$$","Bourbon-like","","","USA","Bourbon"
"W.L. Weller Special Reserve (7yo)","8.5","0.42","8","$","Bourbon-like","","","USA","Bourbon"
"Wemyss Malts Kiln Embers","8.79","0.11","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Wemyss Malts Peat Chimney","8.43","0.51","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts Smooth Gentleman","8.31","0.1","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Wemyss Malts The Hive","8.41","0.21","11","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Wemyss Malts The Rockpool","8.92","0.32","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts The Spice King","8.39","0.33","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Wemyss Malts Velvet Fig","8.27","1.16","5","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Whistlepig 10yo","8.86","0.5","13","$$$$","Rye-like","","","Canada","Blend"
"Whistlepig The Boss Hog 12yo","8.75","0.33","6","$$$$$","Rye-like","","","Canada","Blend"
"White Oak Akashi 5yo","8.14","0.68","7","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"White Oak Akashi Blended","7.95","0.5","4","$$$","Scotch-like","","","Japan","Blend"
"Whyte & Mackay Special Reserve","7.41","0.46","5","$","Scotch-like","","","Scotland","Blend"
"Wild Turkey 101 Bourbon","8.48","0.42","14","$$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 101 Rye","8.39","0.25","6","$$","Rye-like","","","USA","Rye"
"Wild Turkey 81 Bourbon","8.19","0.37","11","$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 81 Rye","8.05","0.24","5","$$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey Rare Breed","8.81","0.36","13","$$","Bourbon-like","","","USA","Bourbon"
"William Larue Weller","9.2","0.27","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Wiser's DeLuxe","8.14","0.49","8","$","Rye-like","","","Canada","Blend"
"Wiser's Legacy","9.07","0.24","13","$$","Rye-like","","","Canada","Blend"
"Wiser's Small Batch","8.57","0.27","11","$","Rye-like","","","Canada","Blend"
"Wiser’s 18yo","8.71","0.42","14","$$$","Rye-like","","","Canada","Blend"
"Wiser’s Red Letter","8.86","0.56","10","$$$$","Rye-like","","","Canada","Blend"
"Woodford Reserve bourbon","8.4","0.37","16","$$","Bourbon-like","","","USA","Bourbon"
"Woodford Reserve Double Oaked","8.77","0.28","8","$$$$","Bourbon-like","","","USA","Bourbon"
"Writers Tears Pot Still Irish Whiskey","8.55","0.4","11","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Yamazaki 12yo","8.64","0.29","20","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Yamazaki 18yo","9.21","0.22","18","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Yamazaki Bourbon Barrel","8.81","0.24","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Yamazaki Distiller's Edition (Reserve)","8.71","0.33","5","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Yamazaki Mizunara","8.98","0.21","8","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Yamazaki NAS","8.48","0.25","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Yamazaki Puncheon","8.68","0.25","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Yamazaki Sherry Cask","9.08","0.5","9","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Yellow Rose Straight Rye","8.55","0.12","3","$$$","Rye-like","","","USA","Rye"